"Incident Date",State,"City",Address,"killed","injured",Operations,"district",lat,lng
"October 7, 2017",Arizona,Phoenix,87th Ave and Thomas Rd,0,4,N/A,3,33.479751,-112.2464783
"October 6, 2017",Illinois,Chicago,8000 block of S Marshfield,0,5,N/A,1,41.748351,-87.6649489
"October 5, 2017",Arizona,Casa Grande,400 block of W 13th Street,4,0,N/A,1,32.8854151,-111.7573019
"October 3, 2017",Florida,Miami,2051 NW 65th St,0,4,N/A,24,25.8338798,-80.23101489999999
"October 1, 2017",Nevada,Las Vegas,3950 Las Vegas Blvd S,59,241,N/A,1,36.0908614,-115.1750272
"October 1, 2017",Kansas,Lawrence,1000 block of Massachusetts St,3,2,N/A,2,38.9654625,-95.235711
"September 30, 2017",Tennessee,Memphis,800 block of Kerr Avenue,1,3,N/A,9,35.1071634,-90.0358906
"September 28, 2017",Louisiana,New Orleans,2001 N Rocheblave St,1,3,N/A,2,29.981503,-90.0647822
"September 26, 2017",Tennessee,Memphis,2531 Chelsea Ave,0,4,N/A,9,35.1742096,-89.97276839999999
"September 26, 2017",Maryland,Baltimore,3200 block of Lyndale Ave,2,2,N/A,7,39.31661,-76.578385
"September 26, 2017",Pennsylvania,Philadelphia,100 block of Pastorius St,1,3,N/A,2,40.043327,-75.177497
"September 24, 2017",Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4,N/A,2,39.23695,-76.6036057
"September 24, 2017",New Jersey,Mays Landing,6000 block of Hoover Dr,1,3,N/A,2,39.4511646,-74.7662728
"September 24, 2017",Tennessee,Antioch,3890 Pin Hook Rd,1,8,N/A,5,36.0467713,-86.5830805
"September 24, 2017",New York,Syracuse,1226 E Fayette St,0,4,N/A,24,43.0481849,-76.13046899999999
"September 23, 2017",Illinois,Danville,Seminary St and Jackson St,0,5,N/A,15,40.1303331,-87.6273128
"September 23, 2017",California,Bakersfield,818 Real Rd,1,4,N/A,23,35.3657935,-119.0432433
"September 20, 2017",Indiana,Gary,4300 block of 23rd Ct,0,5,N/A,1,41.57554,-87.3903455
"September 17, 2017",Michigan,Detroit,5000 block of Stanton Street,1,3,N/A,13,42.3497679,-83.0905192
"September 17, 2017",Virginia,Petersburg,300 Mistletoe St,1,4,N/A,3,37.2168154,-77.4048035
"September 16, 2017",South Carolina,Columbia,920 Lady Street,0,8,N/A,6,34.0012887,-81.0376376
"September 13, 2017",Washington,Rockford,14626 S Jackson Rd,1,3,N/A,5,47.5195602,-117.196933
"September 13, 2017",Pennsylvania,York,400 block of S Duke St,0,4,N/A,4,39.957422,-76.72305899999999
"September 13, 2017",Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4,N/A,1,39.9973235,-75.1332171
