date,freq
2012-10-14,7
2012-10-21,5
2012-10-28,5
2012-11-04,10
2012-11-11,7
2012-11-18,4
2012-11-25,6
2012-12-02,20
2012-12-09,31
2012-12-16,75
2012-12-23,24
2012-12-30,22
2013-01-06,48
2013-01-13,100
2013-01-20,42
2013-01-27,36
2013-02-03,30
2013-02-10,27
2013-02-17,25
2013-02-24,24
2013-03-03,21
2013-03-10,19
2013-03-17,21
2013-03-24,20
2013-03-31,24
2013-04-07,32
2013-04-14,61
2013-04-21,26
2013-04-28,20
2013-05-05,16
2013-05-12,12
2013-05-19,9
2013-05-26,8
2013-06-02,7
2013-06-09,6
2013-06-16,5
2013-06-23,4
2013-06-30,4
2013-07-07,4
2013-07-14,4
2013-07-21,4
2013-07-28,3
2013-08-04,3
2013-08-11,3
2013-08-18,4
2013-08-25,5
2013-09-01,4
2013-09-08,6
2013-09-15,10
2013-09-22,9
2013-09-29,6
2013-10-06,7
2013-10-13,6
2013-10-20,7
2013-10-27,7
2013-11-03,8
2013-11-10,8
2013-11-17,8
2013-11-24,5
2013-12-01,8
2013-12-08,8
2013-12-15,7
2013-12-22,2
2013-12-29,4
2014-01-05,5
2014-01-12,6
2014-01-19,6
2014-01-26,7
2014-02-02,6
2014-02-09,6
2014-02-16,6
2014-02-23,7
2014-03-02,7
2014-03-09,6
2014-03-16,6
2014-03-23,7
2014-03-30,6
2014-04-06,6
2014-04-13,6
2014-04-20,7
2014-04-27,6
2014-05-04,6
2014-05-11,5
2014-05-18,5
2014-05-25,8
2014-06-01,5
2014-06-08,7
2014-06-15,4
2014-06-22,4
2014-06-29,3
2014-07-06,3
2014-07-13,3
2014-07-20,3
2014-07-27,3
2014-08-03,3
2014-08-10,3
2014-08-17,3
2014-08-24,3
2014-08-31,3
2014-09-07,4
2014-09-14,4
2014-09-21,5
2014-09-28,5
2014-10-05,5
2014-10-12,5
2014-10-19,7
2014-10-26,7
2014-11-02,8
2014-11-09,6
2014-11-16,6
2014-11-23,4
2014-11-30,6
2014-12-07,5
2014-12-14,5
2014-12-21,2
2014-12-28,2
2015-01-04,5
2015-01-11,4
2015-01-18,4
2015-01-25,4
2015-02-01,4
2015-02-08,4
2015-02-15,4
2015-02-22,5
2015-03-01,5
2015-03-08,5
2015-03-15,4
2015-03-22,5
2015-03-29,4
2015-04-05,4
2015-04-12,6
2015-04-19,6
2015-04-26,5
2015-05-03,5
2015-05-10,4
2015-05-17,4
2015-05-24,3
2015-05-31,4
2015-06-07,3
2015-06-14,7
2015-06-21,9
2015-06-28,5
2015-07-05,4
2015-07-12,4
2015-07-19,6
2015-07-26,5
2015-08-02,5
2015-08-09,3
2015-08-16,3
2015-08-23,8
2015-08-30,7
2015-09-06,5
2015-09-13,6
2015-09-20,5
2015-09-27,19
2015-10-04,30
2015-10-11,17
2015-10-18,12
2015-10-25,10
2015-11-01,10
2015-11-08,11
2015-11-15,10
2015-11-22,6
2015-11-29,27
2015-12-06,25
2015-12-13,14
2015-12-20,7
2015-12-27,10
2016-01-03,62
2016-01-10,14
2016-01-17,9
2016-01-24,9
2016-01-31,9
2016-02-07,8
2016-02-14,7
2016-02-21,8
2016-02-28,9
2016-03-06,8
2016-03-13,9
2016-03-20,6
2016-03-27,5
2016-04-03,6
2016-04-10,6
2016-04-17,6
2016-04-24,6
2016-05-01,6
2016-05-08,5
2016-05-15,5
2016-05-22,5
2016-05-29,5
2016-06-05,4
2016-06-12,43
2016-06-19,37
2016-06-26,10
2016-07-03,9
2016-07-10,7
2016-07-17,6
2016-07-24,6
2016-07-31,4
2016-08-07,4
2016-08-14,3
2016-08-21,3
2016-08-28,4
2016-09-04,4
2016-09-11,5
2016-09-18,6
2016-09-25,7
2016-10-02,6
2016-10-09,7
2016-10-16,8
2016-10-23,8
2016-10-30,8
2016-11-06,11
2016-11-13,7
2016-11-20,4
2016-11-27,6
2016-12-04,6
2016-12-11,4
2016-12-18,3
2016-12-25,2
2017-01-01,3
2017-01-08,4
2017-01-15,4
2017-01-22,4
2017-01-29,5
2017-02-05,4
2017-02-12,5
2017-02-19,4
2017-02-26,4
2017-03-05,4
2017-03-12,3
2017-03-19,3
2017-03-26,3
2017-04-02,3
2017-04-09,3
2017-04-16,4
2017-04-23,4
2017-04-30,4
2017-05-07,3
2017-05-14,3
2017-05-21,2
2017-05-28,2
2017-06-04,2
2017-06-11,5
2017-06-18,2
2017-06-25,2
2017-07-02,1
2017-07-09,1
2017-07-16,1
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,1
2017-08-20,1
2017-08-27,1
2017-09-03,2
2017-09-10,2
2017-09-17,2
2017-09-24,2
2017-10-01,39
2017-10-08,16
